epsilon,qtable
"[1.0, 1.0, 1.0, 1.0]","[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.95, 1.0, 1.0, 0.95]","[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.9026999989333401, 1.0, 1.0, 0.857724998440542]","[0.0,0.0,0.16000000000000003,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.28800000000000003,1.0,1.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.857564998986673, 1.0, 1.0, 0.857724998440542]","[0.0,0.0,0.16000000000000003,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,-0.04000000000000001,0.0],[0.0,0.0,0.28800000000000003,1.0,1.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.8146867490373394, 1.0, 1.0, 0.857724998440542]","[0.0,0.0,0.16000000000000003,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,-0.07200000000000001,0.0],[0.0,0.0,0.28800000000000003,1.0,1.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.7739524115854723, 0.8573749999999999, 1.0, 0.857724998440542]","[0.0,0.0,0.16000000000000003,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,0.0],[0.0,0.0,0.28800000000000003,1.0,1.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.7354147904600676, 0.8573749999999999, 1.0, 0.7743208106837851]","[0.0,0.0,0.28800000000000003,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,0.0],[0.0,0.0,0.47232000000000013,1.0,1.0,-0.04000000000000001],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.6986440509370643, 0.8145062499999999, 1.0, 0.7743208106837851]","[0.0,0.0,0.28800000000000003,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.0,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,0.0],[0.0,0.0,0.47232000000000013,1.0,1.0,-0.04000000000000001],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.6638398481105915, 0.8145062499999999, 1.0, 0.7356866900762951]","[0.0,0.0,0.3904000000000001,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.0,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,0.0],[0.0,0.0,0.5378560000000001,1.8,1.0,-0.04000000000000001],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.630847854638402, 0.8145062499999999, 1.0, 0.7356866900762951]","[0.16000000000000003,0.0,0.3904000000000001,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,1.8,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,0.0],[0.0,0.0,0.5378560000000001,1.8,1.0,-0.04000000000000001],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
